CustomerID,Age,Gender,Income,Tenure,ProductType,SupportCalls,ChurnStatus
CUST0000,59.0,0,151203.0,4.0,0,1.0,0
CUST0001,69.0,0,58332.0,6.0,1,9.0,0
CUST0002,46.0,1,149481.0,2.0,0,12.0,0
CUST0003,32.0,1,115937.0,1.0,1,13.0,0
CUST0004,60.0,0,103929.0,4.0,1,5.0,0
CUST0005,25.0,1,94206.0,7.0,1,13.0,0
CUST0006,38.0,1,116137.0,6.0,0,5.0,0
CUST0007,56.0,1,27251.0,1.0,0,5.0,1
CUST0008,36.0,0,70717.0,1.0,0,7.0,0
CUST0009,40.0,1,124108.0,8.0,0,100.0,0
CUST0010,28.0,0,52027.0,4.0,0,2.0,0
CUST0011,28.0,0,122382.0,5.0,0,5.0,0
CUST0012,,1,111551.0,,0,3.0,0
CUST0013,53.0,1,34583.0,8.0,0,1.0,0
CUST0014,57.0,1,,7.0,0,150.0,0
CUST0015,41.0,0,48104.0,2.0,1,9.0,1
CUST0016,20.0,1,37224.0,4.0,0,4.0,0
CUST0017,39.0,1,85624.0,1.0,0,10.0,0
CUST0018,19.0,1,81058.0,9.0,0,8.0,0
CUST0019,41.0,0,132845.0,3.0,1,10.0,0
CUST0020,61.0,1,123416.0,3.0,0,5.0,0
CUST0021,47.0,0,54299.0,9.0,0,13.0,0
CUST0022,55.0,0,,3.0,0,2.0,0
CUST0023,19.0,1,,8.0,0,10.0,0
CUST0024,38.0,0,102928.0,2.0,0,4.0,0
CUST0025,50.0,1,98474.0,3.0,1,14.0,0
CUST0026,,0,29141.0,2.0,1,9.0,1
CUST0027,39.0,0,48350.0,1.0,1,,1
CUST0028,61.0,0,100082.0,2.0,1,8.0,0
CUST0029,42.0,1,95871.0,8.0,0,7.0,0
CUST0030,66.0,1,30077.0,9.0,1,14.0,0
CUST0031,44.0,1,75403.0,2.0,0,2.0,0
CUST0032,59.0,1,96147.0,7.0,0,,0
CUST0033,45.0,1,84180.0,5.0,0,2.0,0
CUST0034,33.0,1,65857.0,3.0,0,7.0,0
CUST0035,32.0,1,126196.0,9.0,0,,0
CUST0036,64.0,1,89338.0,6.0,0,8.0,0
CUST0037,68.0,0,84902.0,1.0,0,6.0,0
CUST0038,61.0,1,30577.0,5.0,1,3.0,0
CUST0039,69.0,1,45002.0,,0,9.0,0
CUST0040,,1,75711.0,4.0,0,14.0,0
CUST0041,54.0,1,64451.0,8.0,1,8.0,0
CUST0042,68.0,0,124811.0,5.0,0,2.0,0
CUST0043,24.0,1,74103.0,9.0,1,14.0,0
CUST0044,38.0,0,53647.0,9.0,0,2.0,0
